key,corpus,n_sizes,e_true,loo_std,holdout_delta,pass_gate,skipped,protocol,stack,domain,family,monotonic,failure_diagnosis
pythia_pile_6,The Pile (Pythia),6.0,1.4820262894360565,0.056548347634793376,0.003365062484310455,True,False,matched_tokens,pythia,mixed,pile,True,fail:unspecified
pythia_pile_7,The Pile (Pythia 7-size),7.0,1.775377542490931,0.14410789387841105,0.36182173716944965,False,False,matched Pile ladder; E_app=late C*,unknown,unknown,unknown,False,non_monotonic_at_410m->1b; E_true_not_below_min_E_app; holdout_delta=0.3618; sanity:non_monotonic; sanity:E_true_above_min_E_app
meta_step2_ti134698_3pt,Meta FAIR Step-2 (public CSV),3.0,1.6492566488960247,0.06729731959928686,0.023849057345349145,True,False,matched_tokens,farseer,web,step2,True,E_app = late C*; holdout on flat asymptotes (256B-token runs
meta_step2_ti134698_5sz,Meta Step-2 (ti134698),5.0,1.6492566488960247,0.016054160535201135,0.01373839655640885,True,False,matched token budget; E_app=late C*,farseer,web,step2,True,pass
meta_step2_ti139508_4sz,Meta Step-2 (ti139508),4.0,1.5597233729249254,0.013276939511993102,0.00459653545900407,True,False,matched token budget; E_app=late C*,farseer,web,step2,True,pass
meta_step2_ti145166_7sz,Meta Step-2 (ti145166),7.0,1.5640952275352362,0.0029882238693487665,0.005771777039627279,True,False,matched token budget; E_app=late C*,farseer,web,step2,True,pass
meta_step2_ti153451_5sz,Meta Step-2 (ti153451),5.0,1.5544921347971958,0.008766241786900988,0.0050242695171291984,True,False,matched token budget; E_app=late C*,farseer,web,step2,True,pass
meta_step2_ti172881_3sz,Meta Step-2 (ti172881),3.0,1.560611487792623,0.008807930034401156,0.0018087590271576026,True,False,matched token budget; E_app=late C*,farseer,web,step2,True,pass
olmo_dolma,Dolma / OLMo (Allen AI W&B exports),3.0,2.187929959549529,1.4623293015674452,0.5442418217352829,False,False,matched_tokens,olmo,web,dolma,False,non_monotonic_at_7b->13b; E_true_not_below_min_E_app; holdout_delta=0.5442; loo_std=1.4623; sanity:non_monotonic; sanity:E_true_above_min_E_app
kempner_fineweb_100b,Kempner OLMo / fineweb-100b (iso-flop),14.0,2.9370925201388607,0.013814887399721231,0.04104821878585163,True,False,iso_flop=4.57e+18; E_app=final train CE,olmo,web_raw,kempner,False,pass
kempner_fineweb_edu_100b,Kempner OLMo / fineweb-edu-100b (iso-flop),13.0,2.501593467715663,0.014961480309578704,0.059876956730434916,True,False,iso_flop=2.20e+19; E_app=final train CE,olmo,web_edu,kempner,False,pass
kempner_proof_pile_2,Kempner OLMo / proof-pile-2 (iso-flop),13.0,1.7473335986992944,0.02072737211620595,0.07352417458504612,False,False,iso_flop=1.00e+19; E_app=final train CE,olmo,mixed,kempner,False,non_monotonic_at_134M->161M; E_true_not_below_min_E_app; sanity:non_monotonic; sanity:E_true_above_min_E_app
kempner_slimpajama_chunk1,Kempner OLMo / slimpajama-chunk1 (iso-flop),14.0,2.811851074542476,0.018643828635076597,0.08442782153037953,False,False,iso_flop=4.57e+18; E_app=final train CE,olmo,web,kempner,False,non_monotonic_at_192M->227M; E_true_not_below_min_E_app; sanity:non_monotonic; sanity:E_true_above_min_E_app
kempner_slimpajama_chunk1_mono_prefix,Kempner OLMo / slimpajama-chunk1 (iso-flop) [monotonic prefix],6.0,2.416738452590652,0.03397013746256463,0.01626249457088136,True,False,iso_flop=4.57e+18; E_app=final train CE; prefix_n=6,unknown,unknown,unknown,True,pass
kempner_smollm_corpus,Kempner OLMo / smollm-corpus (iso-flop),13.0,2.6610980346864377,0.02584238665252671,0.10115406721620035,True,False,iso_flop=2.09e+18; E_app=final train CE,olmo,web_mixed,kempner,False,pass
kempner_starcoder,Kempner OLMo / starcoder (iso-flop),13.0,1.2607053788573928,0.014010739508238395,0.044766704442341654,False,False,iso_flop=1.00e+19; E_app=final train CE,olmo,code,kempner,False,non_monotonic_at_161M->192M; E_true_not_below_min_E_app; sanity:non_monotonic; sanity:E_true_above_min_E_app
kempner_starcoder_mono_prefix,Kempner OLMo / starcoder (iso-flop) [monotonic prefix],3.0,0.9115442387392663,0.27661869081261303,0.03361504471280896,False,False,iso_flop=1.00e+19; E_app=final train CE; prefix_n=3,unknown,unknown,unknown,True,loo_std=0.2766
opt_pile_10B,Meta OPT / PILE,6.0,3.2173685731003774,0.054737471222994,0.13553851692321084,False,False,E_app=interp train CE at 10^10.0 tokens,opt,pile,opt,False,non_monotonic_at_6.7b->13b; E_true_not_below_min_E_app; sanity:non_monotonic; sanity:E_true_above_min_E_app
opt_pile_best_mono,Meta OPT / PILE,6.0,2.5143500752422137,0.010575485853765205,0.04402605652891056,True,False,E_app=interp train CE at 10^10.8 tokens,opt,pile,opt,True,pass
cerebras_pile,Cerebras-GPT / PILE (final eval),7.0,1.4204765601686378,0.029714026944032426,0.12162078948538624,True,False,E_app=PILE test CE at final checkpoint (varying train FLOPs per size),cerebras,pile,cerebras,True,pass
owt_trained,OpenWebText (published E_app only),,2.4850769269815354,0.006393396231454265,,False,False,flat_eapp,custom,web,owt,True,Holdout/LOO on flat E_app — optimistic; full test needs epoc
